"INDI_ID","CSF","GM","WM","DGM","BS","Cerebellum"
28543,331996.96875,416994.9375,373820.96875,31788.99609375,18660.998046875,147411.984375
28351,347298.96875,466317.96875,470166.96875,39754.99609375,15326.9990234375,111596.9921875
28345,269433.96875,460941.96875,338559.96875,30924.998046875,15957.9990234375,121752.9921875
28541,258000.984375,508008.96875,376198.96875,35499.99609375,10070.9990234375,74004.9921875
28622,258888.984375,579375.9375,386462.96875,40058.99609375,19825.998046875,157645.984375
28530,239453.984375,442147.96875,343638.96875,33922.99609375,20047.998046875,155462.984375
28548,293185,554041,424241,38025,19234,123809
28332,347681,494108,422366,33425,17781,138503
28350,251138.984375,474864.96875,412706.96875,34235.99609375,17688.998046875,152093.984375
28404,225403,490050,336726,34826,18578,132934
28508,209983,547399,387702,38813,17523,151284
28387,250637.984375,544279.9375,394483.96875,34723.99609375,17923.998046875,137928.984375
28591,336709.96875,431313.96875,404940.96875,37325.99609375,10639.9990234375,76991.9921875
28346,243651.96875,483466.9375,361306.96875,30790.99609375,16557.998046875,135404.984375
28512,294975.96875,563370.9375,468553.96875,39849.99609375,19337.998046875,165593.984375
28582,330471,575821,436451,38100,24205,178996
